,id,release_date,movie,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,year,month,production_budget_2,domestic_gross_2,worldwide_gross_2,genres2,profit_multiple
2617,66,2013-04-19,Home Run,tt2051894,Home Run,Home Run,2013,113.0,"Drama,Sport",6.0,2745,2013,4,1200000,2859955,2859955,"['Drama', 'Sport']",1.3832958333333334
2618,72,2012-04-13,Blue Like Jazz,tt1758575,Blue Like Jazz,Blue Like Jazz,2012,108.0,"Comedy,Drama",5.9,2810,2012,4,1200000,595018,595018,"['Comedy', 'Drama']",-0.5041516666666667
2619,74,1982-11-19,Q,tt1879030,Q,Q,2011,103.0,Drama,5.6,5322,1982,11,1200000,255000,255000,['Drama'],-0.7875
2620,74,1982-11-19,Q,tt5068886,Q,Q,2014,96.0,"Drama,Thriller",6.4,18,1982,11,1200000,255000,255000,"['Drama', 'Thriller']",-0.7875
2621,76,2012-06-01,"Pink Ribbons, Inc.",tt2035599,"Pink Ribbons, Inc.","Pink Ribbons, Inc.",2011,97.0,Documentary,7.3,654,2012,6,1200000,26608,26608,['Documentary'],-0.9778266666666666
2622,77,2018-02-06,Blood Feast,tt4847546,Blood Feast,Blood Feast,2016,90.0,Horror,4.9,653,2018,2,1200000,8708,8708,['Horror'],-0.9927433333333332
2623,83,2012-08-28,Below Zero,tt1641388,Below Zero,Below Zero,2011,99.0,Thriller,4.4,740,2012,8,1200000,0,0,['Thriller'],-1.0
2624,84,2012-09-07,Crowsnest,tt2180333,Crowsnest,Crowsnest,2012,84.0,"Horror,Mystery,Thriller",3.9,1481,2012,9,1200000,0,0,"['Horror', 'Mystery', 'Thriller']",-1.0
2625,85,2012-09-14,Airborne,tt1827354,Airborne,Airborne,2012,81.0,"Comedy,Crime,Horror",3.9,2248,2012,9,1200000,0,0,"['Comedy', 'Crime', 'Horror']",-1.0
2626,87,2015-02-03,Bleeding Hearts,tt2622294,Bleeding Hearts,Bleeding Hearts,2015,100.0,Horror,3.4,123,2015,2,1200000,0,0,['Horror'],-1.0
2627,88,2013-12-31,The Wicked Within,tt1943014,The Wicked Within,The Wicked Within,2015,84.0,Horror,4.5,1123,2013,12,1200000,0,0,['Horror'],-1.0
2628,100,2012-05-18,Beyond the Black Rainbow,tt1534085,Beyond the Black Rainbow,Beyond the Black Rainbow,2010,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,2012,5,1100000,56491,56491,"['Horror', 'Sci-Fi', 'Thriller']",-0.9486445454545456
2629,2,2014-11-21,The Sleepwalker,tt2723576,The Sleepwalker,The Sleepwalker,2014,91.0,Drama,4.9,632,2014,11,1100000,2636,2636,['Drama'],-0.9976036363636364
2630,3,2017-03-07,Departure,tt2248739,Departure,Departure,2015,109.0,"Drama,Romance",6.7,1680,2017,3,1100000,0,27561,"['Drama', 'Romance']",-0.9749445454545456
2631,7,2010-12-31,The Dead Undead,tt0923653,The Dead Undead,The Dead Undead,2010,89.0,"Action,Horror,Sci-Fi",3.0,791,2010,12,1100000,0,0,"['Action', 'Horror', 'Sci-Fi']",-1.0
2632,8,2013-12-31,The Vatican Exorcisms,tt3043194,The Vatican Exorcisms,The Vatican Exorcisms,2013,76.0,Horror,2.5,413,2013,12,1100000,0,0,['Horror'],-1.0
2633,11,1976-11-21,Rocky,tt3080284,Rocky,Rocky,2013,136.0,"Action,Comedy,Drama",6.1,46,1976,11,1000000,117235147,225000000,"['Action', 'Comedy', 'Drama']",224.0
2634,11,1976-11-21,Rocky,tt9430578,Rocky,Rocky,2019,,"Action,Drama,Romance",6.4,5,1976,11,1000000,117235147,225000000,"['Action', 'Drama', 'Romance']",224.0
2635,12,2012-01-06,The Devil Inside,tt1560985,The Devil Inside,The Devil Inside,2012,83.0,Horror,4.2,33522,2012,1,1000000,53262945,101759490,['Horror'],100.75949
2636,14,2015-04-17,Unfriended,tt3713166,Unfriended,Unfriended,2014,83.0,"Horror,Mystery,Thriller",5.6,62043,2015,4,1000000,32789645,64364198,"['Horror', 'Mystery', 'Thriller']",63.364197999999995
2637,17,2013-08-23,You're Next,tt1853739,You're Next,You're Next,2011,95.0,"Action,Comedy,Horror",6.6,79451,2013,8,1000000,18494006,26887177,"['Action', 'Comedy', 'Horror']",25.887176999999998
2638,18,2012-05-25,Chernobyl Diaries,tt1991245,Chernobyl Diaries,Chernobyl Diaries,2012,86.0,"Horror,Mystery,Thriller",5.0,60304,2012,5,1000000,18119640,42411721,"['Horror', 'Mystery', 'Thriller']",41.411721
2639,19,1981-04-10,The Howling,tt5694044,The Howling,The Howling,2017,83.0,Horror,2.6,126,1981,4,1000000,17985000,17985000,['Horror'],16.985
2640,22,2016-03-11,"Hello, My Name is Doris",tt3766394,"Hello, My Name Is Doris","Hello, My Name Is Doris",2015,90.0,"Comedy,Drama,Romance",6.6,17444,2016,3,1000000,14444999,14662703,"['Comedy', 'Drama', 'Romance']",13.662703
2641,25,2010-12-29,Blue Valentine,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",7.4,170089,2010,12,1000000,9737892,16566240,"['Drama', 'Romance']",15.566239999999999
2642,29,2018-07-20,Unfriended: Dark Web,tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018,92.0,"Crime,Horror,Mystery",5.9,13822,2018,7,1000000,8866745,16434588,"['Crime', 'Horror', 'Mystery']",15.434588
2643,31,2015-09-25,The Green Inferno,tt2403021,The Green Inferno,The Green Inferno,2013,100.0,"Adventure,Horror",5.3,33239,2015,9,1000000,7192291,12931420,"['Adventure', 'Horror']",11.93142
2644,32,2017-02-03,I Am Not Your Negro,tt5804038,I Am Not Your Negro,I Am Not Your Negro,2016,93.0,Documentary,7.8,13948,2017,2,1000000,7123919,9617402,['Documentary'],8.617402
2645,33,2012-10-19,The Sessions,tt1866249,The Sessions,The Sessions,2012,95.0,"Biography,Comedy,Drama",7.2,39731,2012,10,1000000,6002451,11495204,"['Biography', 'Comedy', 'Drama']",10.495204
2646,35,2012-03-23,October Baby,tt1720182,October Baby,October Baby,2011,107.0,Drama,6.8,6903,2012,3,1000000,5355847,5391992,['Drama'],4.391992
2647,36,2014-09-12,The Skeleton Twins,tt1571249,The Skeleton Twins,The Skeleton Twins,2014,93.0,"Comedy,Drama,Romance",6.8,36793,2014,9,1000000,5284309,5797192,"['Comedy', 'Drama', 'Romance']",4.797192
2648,37,2013-06-14,20 Feet From Stardom,tt2396566,20 Feet from Stardom,Twenty Feet from Stardom,2013,91.0,"Documentary,Music",7.4,11312,2013,6,1000000,4946250,5892466,"['Documentary', 'Music']",4.892466000000001
2649,41,2014-06-06,Obvious Child,tt2910274,Obvious Child,Obvious Child,2014,84.0,"Comedy,Drama,Romance",6.8,21536,2014,6,1000000,3122616,3324070,"['Comedy', 'Drama', 'Romance']",2.32407
2650,42,2011-10-21,Martha Marcy May Marlene,tt1441326,Martha Marcy May Marlene,Martha Marcy May Marlene,2011,102.0,"Drama,Mystery,Thriller",6.9,45873,2011,10,1000000,2981038,5438911,"['Drama', 'Mystery', 'Thriller']",4.438911
2651,52,2001-12-07,No Man's Land,tt1456660,No Man's Land,Wu ren qu,2013,118.0,"Adventure,Crime,Drama",7.3,1756,2001,12,1000000,1067481,2684207,"['Adventure', 'Crime', 'Drama']",1.684207
2652,52,2001-12-07,No Man's Land,tt6546808,No Man's Land,No Man's Land,2017,81.0,Documentary,7.7,63,2001,12,1000000,1067481,2684207,['Documentary'],1.684207
2653,53,1998-10-09,Slam,tt4379536,Slam,Slam: Tutto per una ragazza,2016,100.0,"Comedy,Drama,Romance",6.2,883,1998,10,1000000,1009819,1087521,"['Comedy', 'Drama', 'Romance']",0.087521
2654,53,1998-10-09,Slam,tt6037866,Slam,Slam,2018,115.0,Drama,7.3,16,1998,10,1000000,1009819,1087521,['Drama'],0.087521
2655,56,2017-08-18,Patti Cake$,tt6288250,Patti Cake$,Patti Cake$,2017,109.0,"Drama,Music",6.7,8581,2017,8,1000000,800148,1471090,"['Drama', 'Music']",0.47108999999999995
2656,57,2000-12-01,Panic,tt2634438,Panic,Panic,2014,85.0,"Drama,Mystery,Thriller",6.1,55,2000,12,1000000,779137,1425707,"['Drama', 'Mystery', 'Thriller']",0.42570699999999995
2657,58,2014-05-09,Palo Alto,tt2479800,Palo Alto,Palo Alto,2013,100.0,Drama,6.2,25402,2014,5,1000000,767732,1156309,['Drama'],0.156309
2658,62,2011-07-29,The Future,tt1235170,The Future,The Future,2011,91.0,"Drama,Fantasy,Romance",6.2,7648,2011,7,1000000,568662,1239174,"['Drama', 'Fantasy', 'Romance']",0.23917399999999997
2659,64,2014-10-24,23 Blast,tt2304459,23 Blast,23 Blast,2014,98.0,"Drama,Family,Sport",6.5,1567,2014,10,1000000,549185,549185,"['Drama', 'Family', 'Sport']",-0.45081499999999997
2660,66,2013-07-19,The Act of Killing,tt2375605,The Act of Killing,The Act of Killing,2012,117.0,"Crime,Documentary",8.2,31115,2013,7,1000000,486919,1227316,"['Crime', 'Documentary']",0.227316
2661,70,2014-07-18,I Origins,tt2884206,I Origins,I Origins,2014,106.0,"Drama,Romance,Sci-Fi",7.4,104718,2014,7,1000000,336472,852399,"['Drama', 'Romance', 'Sci-Fi']",-0.147601
2662,71,2014-11-28,Antarctica: A Year on Ice,tt2361700,Antarctica: A Year on Ice,Antarctica: A Year on Ice,2013,91.0,"Adventure,Biography,Documentary",7.6,3004,2014,11,1000000,288757,288757,"['Adventure', 'Biography', 'Documentary']",-0.7112430000000001
2663,74,2016-04-08,The Invitation,tt2400463,The Invitation,The Invitation,2015,100.0,"Drama,Horror,Mystery",6.7,70213,2016,4,1000000,231738,354836,"['Drama', 'Horror', 'Mystery']",-0.6451640000000001
2664,81,2012-06-01,Hardflip,tt1907639,Hardflip,Hardflip,2012,112.0,"Action,Drama",5.6,673,2012,6,1000000,96734,96734,"['Action', 'Drama']",-0.903266
2665,82,2016-03-11,Creative Control,tt3277624,Creative Control,Creative Control,2015,97.0,"Drama,Sci-Fi",5.4,1951,2016,3,1000000,63014,63014,"['Drama', 'Sci-Fi']",-0.9369860000000001
2666,84,2011-07-01,The Perfect Host,tt1334553,The Perfect Host,The Perfect Host,2010,93.0,"Comedy,Crime,Thriller",6.8,23378,2011,7,1000000,48764,51587,"['Comedy', 'Crime', 'Thriller']",-0.948413
2667,84,2011-07-01,The Perfect Host,tt6026954,The Perfect Host,The Perfect Host,2016,,Fantasy,7.2,5,2011,7,1000000,48764,51587,['Fantasy'],-0.948413
2668,88,2015-02-13,Hits,tt3145220,Hits,Hits,2014,96.0,"Comedy,Drama",5.8,1706,2015,2,1000000,15156,15156,"['Comedy', 'Drama']",-0.984844
2669,89,2000-09-22,The Specials,tt8655470,The Specials,Hors normes,2019,,Comedy,7.2,13,2000,9,1000000,12996,12996,['Comedy'],-0.9870040000000001
2670,92,2014-10-17,Camp X-Ray,tt2994190,Camp X-Ray,Camp X-Ray,2014,117.0,"Drama,War",6.9,36700,2014,10,1000000,9837,101053,"['Drama', 'War']",-0.8989469999999999
2671,94,2015-04-10,The Sisterhood of Night,tt1015471,The Sisterhood of Night,The Sisterhood of Night,2014,104.0,"Drama,Mystery,Thriller",6.2,1888,2015,4,1000000,6870,6870,"['Drama', 'Mystery', 'Thriller']",-0.99313
2672,100,2013-12-31,Heli,tt2852376,Heli,Heli,2013,105.0,"Crime,Drama,Romance",6.8,4379,2013,12,1000000,0,552614,"['Crime', 'Drama', 'Romance']",-0.44738599999999995
2673,1,2015-12-31,Karachi se Lahore,tt4590482,Karachi se Lahore,Karachi se Lahore,2015,143.0,"Adventure,Comedy,Family",6.6,1198,2015,12,1000000,0,17721,"['Adventure', 'Comedy', 'Family']",-0.9822790000000001
2674,3,2015-12-11,American Hero,tt4733536,American Hero,American Hero,2015,86.0,"Action,Comedy,Drama",4.9,3661,2015,12,1000000,0,26,"['Action', 'Comedy', 'Drama']",-0.999974
2675,6,2003-10-24,The Party's Over,tt6173020,The Party's Over,La fête est finie,2017,93.0,Drama,6.3,123,2003,10,1000000,0,0,['Drama'],-1.0
2676,11,2012-03-20,Snow White: A Deadly Summer,tt2149137,Snow White: A Deadly Summer,Snow White: A Deadly Summer,2012,83.0,Horror,2.2,679,2012,3,1000000,0,0,['Horror'],-1.0
2677,12,2012-10-09,Truth or Die,tt1838722,Truth or Die,Truth or Dare,2012,96.0,"Horror,Mystery",5.6,8123,2012,10,1000000,0,0,"['Horror', 'Mystery']",-1.0
2678,13,2013-05-14,Black Rock,tt1930294,Black Rock,Black Rock,2012,83.0,"Horror,Thriller",4.8,7596,2013,5,1000000,0,0,"['Horror', 'Thriller']",-1.0
2679,14,2014-01-07,Hidden Away,tt3289362,Hidden Away,A escondidas,2014,96.0,"Drama,Romance",7.1,1820,2014,1,1000000,0,0,"['Drama', 'Romance']",-1.0
2680,15,2013-10-04,My Last Day Without You,tt1679248,My Last Day Without You,My Last Day Without You,2011,90.0,"Comedy,Drama,Romance",5.7,1178,2013,10,1000000,0,0,"['Comedy', 'Drama', 'Romance']",-1.0
2681,16,2013-10-08,Zombie Hunter,tt2446502,Zombie Hunter,Zombie Hunter,2013,93.0,"Action,Comedy,Horror",3.5,2372,2013,10,1000000,0,0,"['Action', 'Comedy', 'Horror']",-1.0
2682,17,2014-12-31,Doc Holliday's Revenge,tt3359872,Doc Holliday's Revenge,Stranded,2014,84.0,Western,3.8,104,2014,12,1000000,0,0,['Western'],-1.0
2683,18,2014-06-24,A Fine Step,tt1604100,A Fine Step,A Fine Step,2014,111.0,Drama,5.4,279,2014,6,1000000,0,0,['Drama'],-1.0
2684,19,2015-02-10,Fear Clinic,tt2165765,Fear Clinic,Fear Clinic,2014,95.0,Horror,5.0,6256,2015,2,1000000,0,0,['Horror'],-1.0
2685,21,2014-12-31,Bang Bang Baby,tt2655734,Bang Bang Baby,Bang Bang Baby,2014,90.0,"Drama,Fantasy,Musical",5.0,469,2014,12,1000000,0,0,"['Drama', 'Fantasy', 'Musical']",-1.0
2686,22,2016-04-08,Hush,tt2077772,Hush,Ja saapuu oikea yö,2012,103.0,"Drama,Thriller",4.5,244,2016,4,1000000,0,0,"['Drama', 'Thriller']",-1.0
2687,22,2016-04-08,Hush,tt4828062,Hush,Hush,2015,100.0,Documentary,4.8,13,2016,4,1000000,0,0,['Documentary'],-1.0
2688,22,2016-04-08,Hush,tt5022702,Hush,Hush,2016,82.0,"Horror,Thriller",6.6,79100,2016,4,1000000,0,0,"['Horror', 'Thriller']",-1.0
2689,23,2016-03-01,1982,tt2388621,1982,1982,2013,90.0,Drama,7.0,221,2016,3,1000000,0,0,['Drama'],-1.0
2690,25,2016-12-31,Chemical Cut,tt3406296,Chemical Cut,Chemical Cut,2016,83.0,Drama,5.4,111,2016,12,1000000,0,0,['Drama'],-1.0
2691,26,2015-12-22,Por amor en el caserio,tt3107890,Por amor en el caserio,Por amor en el caserio,2014,100.0,"Action,Drama,Romance",8.1,54,2015,12,1000000,0,0,"['Action', 'Drama', 'Romance']",-1.0
2692,30,2014-01-10,Banshee Chapter,tt2011276,Banshee Chapter,Banshee Chapter,2013,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,2014,1,950000,0,78122,"['Horror', 'Sci-Fi', 'Thriller']",-0.9177663157894737
2693,31,2012-12-31,Trance,tt1111235,Trance,Trance,2010,83.0,Horror,4.6,77,2012,12,950000,0,0,['Horror'],-1.0
2694,31,2012-12-31,Trance,tt1924429,Trance,Trance,2013,101.0,"Crime,Drama,Mystery",6.9,104951,2012,12,950000,0,0,"['Crime', 'Drama', 'Mystery']",-1.0
2695,32,2014-08-12,Jesse,tt1653203,Jesse,Jesse,2011,120.0,"Action,Crime,Drama",4.9,96,2014,8,950000,0,0,"['Action', 'Crime', 'Drama']",-1.0
2696,33,2015-03-03,Ask Me Anything,tt2505294,Ask Me Anything,Ask Me Anything,2014,100.0,Drama,6.1,10680,2015,3,950000,0,0,['Drama'],-1.0
2697,34,2012-04-13,L!fe Happens,tt1726589,L!fe Happens,L!fe Happens,2011,100.0,Comedy,5.6,7229,2012,4,930000,30905,30905,['Comedy'],-0.9667688172043012
2698,35,2017-05-12,Lowriders,tt1366338,Lowriders,Lowriders,2016,98.0,"Adventure,Crime,Drama",5.7,1954,2017,5,916000,6179955,6188421,"['Adventure', 'Crime', 'Drama']",5.755918122270742
2699,36,2014-11-21,Food Chains,tt2141739,Food Chains,Food Chains,2014,83.0,Documentary,7.2,328,2014,11,913000,0,176,['Documentary'],-0.9998072289156626
2700,38,2013-07-12,Fruitvale Station,tt2334649,Fruitvale Station,Fruitvale Station,2013,85.0,"Biography,Drama,Romance",7.5,68187,2013,7,900000,16098998,17549645,"['Biography', 'Drama', 'Romance']",18.499605555555554
2701,39,2016-04-01,Meet the Blacks,tt4191580,Meet the Blacks,Meet the Blacks,2016,94.0,"Comedy,Horror",5.9,34669,2016,4,900000,9097072,9097072,"['Comedy', 'Horror']",9.107857777777776
2702,41,2011-08-26,Circumstance,tt1684628,Circumstance,Circumstance,2011,107.0,Drama,5.9,7055,2011,8,900000,454121,958978,['Drama'],0.06553111111111111
2703,43,2012-04-27,The Giant Mechanical Man,tt1769363,The Giant Mechanical Man,The Giant Mechanical Man,2012,95.0,"Comedy,Drama,Romance",6.7,8921,2012,4,900000,7396,7396,"['Comedy', 'Drama', 'Romance']",-0.9917822222222222
